ablation,window,flow_start,flow_end,n_flows,n_attack,latency_ms,fixed_dr,fixed_far,fixed_mcc,fixed_f1,fixed_auc,fixed_prauc,youden_dr,youden_far,youden_mcc,youden_f1,youden_auc,youden_prauc
entropy_only,16,527430,562592,35162,2,468.65,0.0,0.0232,-0.0012,0.9882,0.5306,0.0002,0.0,0.0232,-0.0012,0.9882,0.5306,0.0002
entropy_only,17,562592,597754,35162,168,476.323,0.0,0.0186,-0.0095,0.9835,0.4479,0.0079,0.0,0.0186,-0.0095,0.9835,0.4479,0.0079
entropy_only,18,597754,632916,35162,1264,486.813,0.0,0.0141,-0.0226,0.9396,0.472,0.0597,0.0,0.0141,-0.0226,0.9396,0.472,0.0597
entropy_only,19,632916,668078,35162,174,449.999,0.0,0.0253,-0.0113,0.9798,0.5918,0.0062,0.0,0.0253,-0.0113,0.9798,0.5918,0.0062
entropy_only,20,668078,703245,35167,358,485.281,0.0,0.028,-0.0171,0.9707,0.6474,0.0167,0.0,0.028,-0.0171,0.9707,0.6474,0.0167
combined,1,0,35162,35162,7,374.253,0.1429,0.0003,0.1089,0.9996,0.9987,0.1581,0.1429,0.0003,0.1089,0.9996,0.9987,0.1581
combined,2,35162,70324,35162,365,347.529,0.1014,0.0002,0.29,0.9868,0.9187,0.3861,0.0986,0.0002,0.2855,0.9867,0.9187,0.3861
combined,3,70324,105486,35162,17541,358.615,0.0002,0.0002,0.0,0.3347,0.7488,0.6228,0.0002,0.0002,0.0,0.3347,0.7488,0.6228
combined,4,105486,140648,35162,34738,362.381,0.0,0.0,0.0,0.0003,0.7983,0.9892,0.0,0.0,0.0,0.0003,0.7983,0.9892
combined,5,140648,175810,35162,33298,466.705,0.0002,0.0,0.0031,0.0057,0.9149,0.9877,0.0002,0.0,0.0028,0.0056,0.9149,0.9877
combined,6,175810,210972,35162,33388,512.753,0.0003,0.0,0.0041,0.0055,0.9607,0.9924,0.0002,0.0,0.0035,0.0053,0.9607,0.9924
combined,7,210972,246134,35162,23467,471.879,0.001,0.0006,0.0067,0.1674,0.8789,0.8657,0.0009,0.0006,0.0056,0.1673,0.8789,0.8657
combined,8,246134,281296,35162,16126,363.206,0.0047,0.0001,0.0485,0.385,0.7328,0.5833,0.0045,0.0001,0.0478,0.3849,0.7328,0.5833
combined,9,281296,316458,35162,7364,361.175,0.2174,0.0004,0.422,0.7908,0.9855,0.9468,0.2174,0.0004,0.4224,0.7909,0.9855,0.9468
combined,10,316458,351620,35162,25356,362.148,0.1852,0.0,0.2442,0.3612,0.9192,0.9678,0.1852,0.0,0.2442,0.3612,0.9192,0.9678
combined,11,351620,386782,35162,26692,367.01,0.1611,0.0,0.2103,0.3144,0.8875,0.9618,0.1611,0.0,0.2103,0.3144,0.8875,0.9618
combined,12,386782,421944,35162,24672,366.098,0.2459,0.0,0.2977,0.4351,0.8641,0.9354,0.2459,0.0,0.2977,0.4351,0.8641,0.9354
combined,13,421944,457106,35162,24338,382.451,0.1903,0.0,0.2598,0.3825,0.821,0.8864,0.1903,0.0,0.2598,0.3825,0.821,0.8864
combined,14,457106,492268,35162,19605,387.004,0.0971,0.0006,0.2113,0.3805,0.915,0.9038,0.097,0.0005,0.2115,0.3805,0.915,0.9038
combined,16,527430,562592,35162,2,334.997,0.0,0.0001,-0.0001,0.9998,0.8408,0.0003,0.0,0.0001,-0.0001,0.9999,0.8408,0.0003
combined,17,562592,597754,35162,168,357.746,0.0,0.0002,-0.0009,0.9928,0.7541,0.0098,0.0,0.0001,-0.0006,0.9928,0.7541,0.0098
combined,18,597754,632916,35162,1264,322.74,0.0,0.0002,-0.0027,0.9463,0.7735,0.0742,0.0,0.0002,-0.0027,0.9463,0.7735,0.0742
combined,19,632916,668078,35162,174,332.191,0.0,0.0004,-0.0015,0.9924,0.8743,0.0274,0.0,0.0004,-0.0014,0.9924,0.8743,0.0274
combined,20,668078,703245,35167,358,331.863,0.0,0.0006,-0.0025,0.9844,0.909,0.0734,0.0,0.0006,-0.0025,0.9845,0.909,0.0734
